Energy,2020,-10.1
Financials,2016,-6.86
Utilities,2020,-6.47
Real Estate,2018,-4.46
Materials,2016,-3.96
Information Technology,2016,-2.9
Industrials,2020,-2.64
Telecommunications Services,2020,-2.3
Health Care,2021,2.08
Consumer Staples,2021,3.19
Consumer Discretionary,2016,4.86
